Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,292.200012,297.109985,276.049988,296.369995,289.977875,85731500
2022-01-25,291.519989,294.989990,285.170013,288.489990,282.267822,72848600
2022-01-26,307.989990,308.500000,293.029999,296.709991,290.310577,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,293.373016,53481300
2022-01-28,300.230011,308.480011,294.450012,308.260010,301.611450,49743700
2022-01-31,308.950012,312.380005,306.369995,310.980011,304.272827,46444500
2022-02-01,310.410004,310.630005,305.130005,308.760010,302.100647,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,306.699310,36636000
2022-02-03,309.489990,311.230011,299.959991,301.250000,294.752655,43730000
2022-02-04,300.209991,308.799988,299.970001,305.940002,299.341492,35096500
2022-02-07,306.170013,307.839996,299.899994,300.950012,294.459137,28533300
2022-02-08,301.250000,305.559998,299.950012,304.559998,297.991211,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,304.497833,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,295.858307,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,288.676544,39175600
2022-02-14,293.769989,296.760010,291.350006,295.000000,288.637421,36359500
2022-02-15,300.010010,300.799988,297.019989,300.470001,293.989471,27058300
2022-02-16,298.369995,300.869995,293.679993,299.500000,293.646301,29982100
2022-02-17,296.359985,296.799988,290.000000,290.730011,285.047729,32461600
2022-02-18,293.049988,293.859985,286.309998,287.929993,282.302429,34264000
2022-02-22,285.000000,291.540009,284.500000,287.720001,282.096558,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,274.792175,37811200
2022-02-24,272.510010,295.160004,271.519989,294.589996,288.832214,56989700
2022-02-25,295.140015,297.630005,291.649994,297.309998,291.499054,32546700
2022-02-28,294.309998,299.140015,293.000000,298.790009,292.950195,34627500
2022-03-01,296.399994,299.970001,292.149994,294.950012,289.185211,31217800
2022-03-02,295.359985,301.470001,293.700012,300.190002,294.322845,31873000
2022-03-03,302.890015,303.130005,294.049988,295.920013,290.136292,27314500
2022-03-04,294.290009,295.660004,287.170013,289.859985,284.194733,32356500
2022-03-07,288.529999,289.690002,278.529999,278.910004,273.458710,43157200
2022-03-08,277.799988,283.959991,270.000000,275.850006,270.458557,48159500
2022-03-09,283.440002,289.600006,280.779999,288.500000,282.861298,35204500
2022-03-10,283.019989,286.600006,280.579987,285.589996,280.008179,30628000
2022-03-11,287.959991,289.510010,279.429993,280.070007,274.596069,27209300
2022-03-14,280.339996,285.399994,275.820007,276.440002,271.037018,30660700
2022-03-15,280.350006,287.820007,278.730011,287.149994,281.537628,34245100
2022-03-16,289.109985,294.570007,283.200012,294.390015,288.636200,37826300
2022-03-17,293.290009,295.609985,289.369995,295.220001,289.449982,30816600
2022-03-18,295.369995,301.000000,292.730011,300.429993,294.558136,43390600
2022-03-21,298.890015,300.140015,294.899994,299.160004,293.312927,28351200
2022-03-22,299.799988,305.000000,298.769989,304.059998,298.117218,27599700
2022-03-23,300.510010,303.230011,297.720001,299.489990,293.636444,25715400
2022-03-24,299.140015,304.200012,298.320007,304.100006,298.156433,24484500
2022-03-25,305.230011,305.500000,299.290009,303.679993,297.744598,22566500
2022-03-28,304.329987,310.799988,304.329987,310.700012,304.627472,29578200
2022-03-29,313.910004,315.820007,309.049988,315.410004,309.245361,30393400
2022-03-30,313.760010,315.950012,311.579987,313.859985,307.725616,28163600
2022-03-31,313.899994,315.140015,307.890015,308.309998,302.284119,33422100
2022-04-01,309.369995,310.130005,305.540009,309.420013,303.372467,27110500
2022-04-04,310.089996,315.109985,309.709991,314.970001,308.813934,24289600
2022-04-05,313.269989,314.869995,309.869995,310.880005,304.803894,23156700
2022-04-06,305.190002,307.000000,296.709991,299.500000,293.646301,40110400
2022-04-07,296.660004,303.649994,296.350006,301.369995,295.479767,31411200
2022-04-08,300.440002,301.119995,296.279999,296.970001,291.165741,24361900
2022-04-11,291.790009,292.609985,285.000000,285.260010,279.684570,34569300
2022-04-12,289.239990,290.739990,280.489990,282.059998,276.547180,30966700
2022-04-13,282.730011,288.579987,281.299988,287.619995,281.998505,21907200
2022-04-14,288.089996,288.309998,279.320007,279.829987,274.360718,28221600
2022-04-18,278.910004,282.459991,278.339996,280.519989,275.037231,20778000
2022-04-19,279.380005,286.170013,278.410004,285.299988,279.723816,22297700
2022-04-20,289.399994,289.700012,285.369995,286.359985,280.763123,22906700
2022-04-21,288.579987,293.299988,280.059998,280.809998,275.321564,29454600
2022-04-22,281.679993,283.200012,273.380005,274.029999,268.674103,29405800
2022-04-25,273.290009,281.109985,270.769989,280.720001,275.233368,35678900
2022-04-26,277.500000,278.359985,270.000000,270.220001,264.938629,46518400
2022-04-27,282.100006,290.970001,279.160004,283.220001,277.684479,63477700
2022-04-28,285.190002,290.980011,281.459991,289.630005,283.969238,33646600
2022-04-29,288.609985,289.880005,276.500000,277.519989,272.095886,37073900
2022-05-02,277.709991,284.940002,276.220001,284.470001,278.910034,35151100
2022-05-03,283.959991,284.130005,280.149994,281.779999,276.272675,25978600
2022-05-04,282.589996,290.880005,276.730011,289.980011,284.312408,33599300
2022-05-05,285.540009,286.350006,274.339996,277.350006,271.929199,43260400
2022-05-06,274.809998,279.250000,271.269989,274.730011,269.360443,37780300
2022-05-09,270.059998,272.359985,263.320007,264.579987,259.408813,47726000
2022-05-10,271.690002,273.750000,265.070007,269.500000,264.232635,39336400
2022-05-11,265.679993,271.359985,259.299988,260.549988,255.457581,48975900
2022-05-12,257.690002,259.880005,250.020004,255.350006,250.359222,51033800
2022-05-13,257.350006,263.040009,255.350006,261.119995,256.016479,34925100
